Vicious,4A48NL57P16zSRaq3yoYry,176.533,56,2,1,4,0.0006,0.605,0.846,0.886,0.0526,-7.755,0.0337,0.952,124.247
Andy's Chest,1mrfZ1VZj8hdm39K0HUu7R,198.52,43,0,1,4,0.472,0.445,0.546,3.26e-05,0.0897,-11.374,0.269,0.401,78.758
Perfect Day,4TOMI010Sd4ZAX4aZ5TS85,225.0,70,10,1,3,0.744,0.4,0.267,0.00734,0.103,-12.488,0.0323,0.0872,144.799
Hangin' 'Round,4tj0T53jJzNpk5f5AByEQR,213.373,43,7,1,4,0.0484,0.61,0.855,0.00332,0.105,-8.016,0.0321,0.96,146.144
Walk On the Wild Side,5p3JunprHCxClJjOmcLV8G,254.173,76,0,1,4,0.683,0.575,0.318,0.000202,0.0934,-16.729,0.109,0.385,104.522
Make Up,4ouI2UOh9gTJOLdcaKKlEt,178.933,42,10,1,4,0.819,0.737,0.224,7.09e-05,0.128,-13.486,0.0459,0.645,96.836
Satellite of Love,5WyuRWUcOOhAic0tj9Pl28,221.12,62,5,1,4,0.442,0.458,0.502,5.51e-06,0.299,-10.186,0.0294,0.571,121.861
Wagon Wheel,0wzt5Ql7PDySTQviZdLvZ4,199.733,41,7,1,4,0.247,0.474,0.724,7.9e-05,0.114,-8.932,0.0661,0.671,134.901
New York Telephone Conversation,07kgKnZT1PAOnt4fW8IIXK,94.36,40,2,1,4,0.796,0.742,0.203,0.0,0.206,-15.449,0.137,0.725,86.634
I'm So Free,3O6xCKNtVyHUcL6HhGWcXL,189.533,42,5,1,4,0.0332,0.43,0.644,1.15e-06,0.227,-7.771,0.0429,0.968,161.545
Goodnight Ladies,30CWW0G4o9bkAWY1cp91OK,260.506,41,10,1,4,0.93,0.667,0.222,0.000363,0.109,-12.525,0.0444,0.593,88.699
