Waitin' for the Bus - 2006 Remaster,2s0XwRidJ0uVeXThGbeCCk,173.266,51,7,1,4,0.0463,0.701,0.371,0.0835,0.148,-10.303,0.0907,0.86,99.537
Jesus Just Left Chicago - 2006 Remaster,4tYjuquiKvx2Pq6usRTVWB,210.253,54,0,1,3,0.0853,0.34,0.598,0.118,0.0969,-9.668,0.0741,0.697,215.918
Beer Drinkers & Hell Raisers - 2006 Remaster,2ap1hCe7wyOWkMJsnIn0V1,205.546,49,7,1,4,0.0014,0.494,0.756,0.0052,0.164,-8.504,0.0432,0.589,133.337
Master of Sparks - 2006 Remaster,5QlRoZ3eJRwFOK8xBQf44y,209.786,43,9,0,4,0.0157,0.713,0.621,0.0181,0.165,-4.72,0.054,0.96,126.253
"Hot, Blue and Righteous - 2006 Remaster",0tH43q9uOXKh1shZCs53DP,197.52,43,9,1,3,0.314,0.512,0.26,0.269,0.11,-11.68,0.0245,0.241,104.15
Move Me on Down the Line - 2005 Remaster,2afW0UsI1mU9mREstUTwu6,151.68,36,4,1,4,0.00356,0.464,0.646,0.0145,0.124,-8.748,0.0433,0.578,148.62
Precious and Grace - 2005 Remaster,2RkypFpFvnvkjKVjBPVXEs,189.666,36,5,1,4,0.000504,0.475,0.694,0.109,0.122,-8.234,0.11,0.764,165.073
La Grange - 2005 Remaster,70YvYr2hGlS01bKRIho1HM,230.48,76,4,0,4,0.00249,0.545,0.64,0.0304,0.196,-9.937,0.224,0.606,80.544
Sheik - 2005 Remaster,4Cf26EZzXjLYa0fDeH3wDa,246.6,37,0,0,4,0.026,0.919,0.394,0.000521,0.122,-11.356,0.068,0.782,108.234
Have You Heard? - 2005 Remaster,6QdCUpQjspiOX0otKX9hAk,194.013,35,9,1,4,0.0502,0.559,0.73,2.71e-05,0.0741,-9.386,0.038,0.796,107.313
Waitin' for the Bus - Live,3DVKx3fOPPN3nmfHTFsCiG,161.986,33,9,0,4,0.00691,0.391,0.899,0.407,0.895,-7.919,0.0625,0.618,105.063
Jesus Just Left Chicago - Live,2jiOTXpEelz627pqJQclEl,243.28,33,0,1,4,0.00252,0.305,0.859,0.136,0.613,-8.213,0.0721,0.33,108.458
La Grange - Live,4uc1in0E5mXcfBmIsVWhXW,284.04,33,2,1,4,3.66e-05,0.146,0.978,0.719,0.885,-8.462,0.226,0.137,174.147
