Ballad Of A Well-Known Gun,0h3ZbeBFe6jEQCQuuM0WWx,301.226,32,2,1,4,0.262,0.697,0.743,0.00116,0.0865,-9.304,0.033,0.79,132.497
Come Down In Time,2Mn2MuyqxbzZwnxRX1p8kY,205.666,35,4,0,4,0.641,0.527,0.293,0.000187,0.0831,-13.96,0.0337,0.182,117.939
Country Comfort,5p9MpS0JdzVfbdJuHwhvqI,306.866,36,9,1,4,0.473,0.553,0.615,0.0,0.119,-10.641,0.0392,0.591,136.12
Son Of Your Father,0LiczY4DOe2qDlTw6KgcJg,228.666,30,8,1,4,0.296,0.554,0.732,0.0,0.168,-10.142,0.0807,0.811,159.183
My Father's Gun,6a1E5VhaMHiG7B3WT9Sem2,380.773,40,3,1,4,0.517,0.426,0.432,0.000216,0.123,-10.911,0.031,0.24,117.759
Where To Now St. Peter?,2VuPf7Il5qhx7WHArc9WAs,251.293,34,4,1,4,0.352,0.589,0.412,0.00211,0.113,-13.805,0.0309,0.371,128.748
Love Song,3B1uIhPK3xaWlWB4iELL09,219.4,36,2,1,4,0.789,0.354,0.123,1.03e-05,0.0738,-23.022,0.0282,0.446,164.788
Amoreena,7qilLNLdlGyALqKVecG3Lt,302.506,48,0,1,4,0.758,0.556,0.617,0.0,0.157,-10.063,0.0331,0.489,128.729
Talking Old Soldiers,0o8YPVrqORUW4rclYgDo4M,244.093,29,0,0,4,0.828,0.571,0.11,0.0,0.0984,-13.836,0.0451,0.098,105.888
Burn Down The Mission,3ggTCH9i9dJ0sRdAxFGzcr,382.933,52,0,1,4,0.093,0.431,0.651,0.0346,0.168,-10.161,0.0374,0.544,122.227
Into The Old Man's Shoes,4UhrY4619OAy9Kg76Bdrli,257.306,27,8,1,4,0.744,0.593,0.546,0.0,0.0813,-9.07,0.0303,0.505,130.27
Madman Across The Water,2ZYERC5OngMDFCGYPCgOMB,532.466,31,9,0,4,0.0599,0.401,0.699,0.00198,0.107,-8.846,0.0651,0.342,134.561
