Two Steps From The Blues,6CDOVjqJuzyKuk4PTJhhvu,153.76,18,1,1,3,0.513,0.376,0.312,5.1e-05,0.12,-10.235,0.0288,0.0716,95.887
"Cry, Cry, Cry",3nHpACjWUnKxR1jxTrKVW1,162.226,12,5,1,3,0.593,0.472,0.433,2.43e-06,0.24,-7.132,0.0429,0.29,109.886
I'm Not Ashamed,56SJOx2IbYPW4YFS3l994k,154.426,12,5,1,3,0.809,0.607,0.383,0.0,0.303,-9.465,0.0298,0.794,96.45
Don't Cry No More,4IYGwCnb7L97ewTqyoRigY,146.56,11,7,0,4,0.447,0.537,0.927,0.0,0.272,-7.383,0.0801,0.87,91.008
Lead Me On,4fY0drBcJnvMLwmC51oGgQ,123.8,10,9,0,4,0.874,0.305,0.413,4.05e-06,0.179,-7.836,0.0317,0.353,62.469
I Pity The Fool,3vdNCELlKllWFddZgerjov,160.6,11,10,0,4,0.683,0.684,0.575,8.7e-06,0.0852,-7.229,0.0543,0.524,75.155
I've Just Got To Forget You,60xh5exKbN1yCi6p2YIBBT,152.4,10,5,1,1,0.604,0.479,0.326,1.13e-06,0.108,-9.604,0.025,0.179,95.242
Little Boy Blue,5cuulCSLmrQ6VO7CmhGkrh,157.773,10,3,1,3,0.775,0.306,0.57,0.0,0.168,-7.145,0.0523,0.676,203.314
St. James Infirmary,5ofbNx30Ru7tuih2NIjpUV,144.0,13,10,0,4,0.593,0.385,0.42,5.88e-05,0.491,-9.383,0.0323,0.403,74.699
I'll Take Care Of You,7Cpx845JN2luOf29W700Ru,144.4,11,5,0,3,0.761,0.536,0.359,0.0,0.105,-9.255,0.0442,0.396,91.732
Don't Want No Woman,42yIJIvyfAZ98ir8VPG6e8,158.466,9,0,1,4,0.517,0.452,0.542,0.0,0.474,-7.686,0.0447,0.767,111.866
I've Been Wrong So Long,3EkHUtsc35vdHmhE5saqMd,138.893,9,5,0,3,0.781,0.504,0.345,1.8e-05,0.45,-7.705,0.0325,0.389,105.714
How Does A Cheatin' Woman Feel,1EkJHBSm8tgqOyN05imdoY,156.36,9,10,0,3,0.502,0.359,0.385,0.0,0.0825,-8.658,0.0312,0.311,92.538
Close To You,6pflzLprqHREh9cuAQAJim,123.333,8,5,1,4,0.712,0.52,0.577,6e-06,0.309,-5.0,0.0324,0.508,94.171
