Mansard Roof,1f1yeiwuYTE8uUK3azgIX1,127.666,52,5,1,4,0.365,0.536,0.7,0.000107,0.201,-4.284,0.141,0.714,165.406
Oxford Comma,2Ml0l8YWJLQhPrRDLpQaDM,195.733,58,0,1,4,0.114,0.694,0.711,0.00124,0.0433,-4.237,0.0517,0.974,119.516
A-Punk,1595LW73XBxkRk2ciQOHfr,137.76,67,2,1,4,0.0104,0.548,0.816,0.0543,0.152,-4.478,0.0499,0.857,174.993
Cape Cod Kwassa Kwassa,7q4MJZSiqPC16dbhQWxugv,214.706,52,2,1,4,0.832,0.852,0.518,0.0893,0.14,-7.155,0.0413,0.794,105.058
M79,6L9qYgThsnIpK9CFKdZMnk,255.76,49,7,1,4,0.14,0.774,0.603,0.00764,0.296,-6.941,0.04,0.94,113.022
Campus,7ui9Qq4JcPGcd3xWOeXhHp,176.466,65,7,1,3,0.224,0.524,0.709,0.193,0.0849,-5.874,0.0632,0.584,108.68
Bryn,49DKrioOpK5IpKHRJzznST,133.173,44,2,1,3,0.0525,0.536,0.747,0.039,0.321,-4.676,0.0481,0.833,179.752
One (Blake's Got A New Face),6CyKXBfcqpoCBh4yRvoNyK,193.0,43,9,1,4,0.0394,0.89,0.576,0.00311,0.0776,-7.846,0.0432,0.743,109.996
I Stand Corrected,506GZgVmpcbJL88PH4V4EL,159.76,44,7,1,4,0.291,0.68,0.641,0.418,0.174,-9.443,0.0963,0.143,160.01
Walcott,1Bw45KRmdKpX2pkIADDP0B,221.6,50,5,1,4,0.541,0.482,0.559,0.00273,0.223,-5.454,0.0296,0.597,80.777
The Kids Don't Stand A Chance,6Uk9iD1hTgC5TKwB2HGCPD,243.0,47,0,1,4,0.273,0.659,0.453,0.44,0.182,-6.226,0.0365,0.906,140.015
