Come Home (feat. André 3000),6RpunyUP44SDweJPDScLSF,266.812,60,8,1,4,0.0144,0.567,0.815,2.14e-05,0.126,-4.915,0.141,0.325,164.834
Make It Better (feat. Smokey Robinson),4SBVWkRIMJ6WBCYPvr5Bwr,219.332,68,4,0,4,0.0112,0.676,0.56,0.00403,0.137,-6.024,0.0643,0.551,178.555
Reachin' 2 Much (feat. Lalah Hathaway),577g1tDBKntqev2lLDydxs,355.492,55,4,0,4,0.0009,0.588,0.654,4.88e-05,0.105,-4.76,0.0676,0.329,120.367
Winners Circle,3AN70xkC9i9fFBpKlukRhY,209.237,55,2,1,4,0.182,0.764,0.591,8.32e-06,0.396,-8.81,0.307,0.694,94.089
Good Heels (feat. Jazmine Sullivan),1BSZGNpIm2nBt1hWSK2bRp,98.249,53,9,0,4,0.0101,0.774,0.508,6.54e-05,0.0539,-7.897,0.0732,0.45,80.13
Yada Yada,13UTQPeYjMFgalnk6rQ8sM,207.687,54,6,0,4,0.0689,0.653,0.55,1.94e-05,0.492,-8.065,0.0869,0.359,92.165
King James,5ri4b7YQp2PWn8tl3MRYgE,197.963,59,7,1,4,0.0779,0.771,0.889,6.53e-05,0.0426,-7.93,0.0777,0.882,108.015
Chosen One (feat. Sonyae Elise),0xmysmjwaEZfDeNlPUa8Iq,245.412,52,5,1,4,0.0562,0.73,0.743,1.88e-06,0.596,-9.667,0.124,0.528,95.213
Jet Black (feat. Brandy),70pZIQqQ37SrNCADx0FiPN,208.395,66,7,0,4,0.0302,0.819,0.596,4.59e-06,0.102,-7.697,0.123,0.473,108.204
Twilight,1ZFg3nGsUSqkwmMPU9qLHk,196.221,54,9,0,4,0.00129,0.931,0.601,0.00784,0.1,-8.901,0.0587,0.963,120.247
What Can We Do? (feat. Nate Dogg),0kOxmoYqRXjAnc5ZfQ6TIs,176.036,54,10,0,4,0.052,0.744,0.622,0.0,0.194,-6.756,0.0458,0.567,101.561
