Maria de Verdade,2FQibaJLFi1nQj8tW18LUJ,235.933,45,1,1,4,0.241,0.728,0.52,0.000104,0.118,-11.185,0.0277,0.843,98.059
Na Estrada,56CE8SdkpSl9OKbF14FALz,214.866,51,9,1,4,0.188,0.443,0.788,0.000286,0.339,-9.282,0.0344,0.964,176.382
Ao Meu Redor,2tS1epXAKA8U6Lnwl9LJxi,237.24,34,9,1,4,0.685,0.734,0.568,0.00117,0.145,-10.759,0.0285,0.793,126.985
Segue o Seco,4WVd5VRuBCtDKweMUiYw7M,302.093,38,5,1,4,0.00837,0.593,0.583,8.92e-05,0.225,-9.94,0.0429,0.96,163.819
Pale Blue Eyes,6cKsaAzKjztQhYUAocWotI,311.306,39,2,1,4,0.794,0.645,0.246,0.452,0.103,-18.203,0.0494,0.817,98.597
Dança da Solidão,5FhXVV2tcydQL3FQmXnaEZ,217.333,36,5,0,4,0.429,0.687,0.538,0.00339,0.0945,-11.759,0.0349,0.609,148.16
De Mais Ninguém,7dszuka5WcUYLTDjfS6ecc,211.933,43,9,0,4,0.537,0.664,0.356,0.0,0.075,-10.582,0.0277,0.505,107.762
Alta Noite,4JpzAKEwZugxYYpySE3q6j,235.133,35,4,1,4,0.774,0.533,0.228,0.000169,0.11,-14.326,0.0273,0.207,102.821
O Céu,5EkA7hI4hbAkd17DMsVFb5,216.266,31,7,1,4,0.391,0.72,0.657,0.00444,0.122,-11.214,0.0321,0.873,110.015
Bem Leve,0Dy7IWxWu1DgfveV2S4kaS,153.333,41,4,0,4,0.731,0.795,0.282,5.57e-06,0.113,-13.747,0.0478,0.61,117.982
Balança Pema,7G1HKqGr2sgHggfkTJcyrA,186.693,45,2,0,4,0.316,0.688,0.87,0.0313,0.066,-9.749,0.0535,0.964,166.093
Enquanto Isso,3DADp8xipHemzcBDLf2WBS,271.066,32,1,1,4,0.113,0.505,0.599,0.0,0.111,-8.204,0.0289,0.729,172.042
Esta Melodia,1SUbsO3S5g44HIOuyzJNZV,402.706,35,10,1,4,0.643,0.336,0.507,6.2e-05,0.0853,-11.862,0.0394,0.374,102.402
