World in My Eyes - 2006 Remaster,70B5oP5ng1QYClkJ9CeWly,267.04,50,10,0,4,0.00737,0.66,0.881,0.833,0.0514,-7.802,0.0419,0.949,122.244
Sweetest Perfection - 2006 Remaster,2YGFDRqaOnejsnTkKe4VKE,282.346,43,11,1,3,0.013,0.62,0.785,0.0191,0.0662,-9.6,0.0578,0.568,101.814
Personal Jesus - 2006 Remaster,7dhM0KUBxuZV9z5iNodLyn,294.773,55,11,1,4,0.134,0.68,0.741,0.204,0.0985,-7.598,0.0494,0.365,130.036
Halo - 2006 Remaster,2XVGfOXvRWy5QP2xPGXvZj,268.493,46,3,0,4,0.104,0.71,0.602,0.142,0.103,-8.542,0.0309,0.639,112.198
Waiting for the Night - 2006 Remaster,6KZaXNcnsHYWLT9b2Rdy6H,367.466,44,10,0,4,0.879,0.381,0.267,0.229,0.261,-17.974,0.0328,0.116,182.325
Enjoy the Silence - 2006 Remaster,1EjQRTG53jsinzk2xlVVJP,372.813,54,0,0,4,0.347,0.381,0.589,0.0152,0.127,-11.967,0.032,0.225,112.969
Policy of Truth - 2006 Remaster,0C6EIiQu8CS4eYtOCMEiAd,294.04,58,8,1,4,0.0093,0.678,0.658,0.239,0.118,-7.3,0.028,0.359,114.209
Blue Dress - 2006 Remaster,4pxzJlQsVjvjrtbTsey5vX,338.373,39,6,0,3,0.0914,0.422,0.785,0.819,0.159,-12.176,0.106,0.386,187.58
Clean - 2006 Remaster,6BnyhvqA12zhsmcvoqwtz4,332.933,37,7,1,3,0.000525,0.408,0.554,0.654,0.223,-9.484,0.032,0.0755,184.296
Dangerous - 2006 Remaster,6u3hSyz0KAuZMyE4JtbQNp,261.195,37,1,0,4,0.213,0.676,0.929,0.0189,0.0502,-4.95,0.044,0.7,104.813
Memphisto - 2006 Remaster,1QpwjJmuow6GhUJGw6W74P,241.208,32,7,1,3,0.721,0.562,0.436,0.859,0.134,-10.442,0.0327,0.04,109.965
Sibeling - 2006 Remaster,0IM5GMjsngXb6ub7BXkOnj,197.165,31,10,0,4,0.936,0.336,0.302,0.97,0.285,-12.32,0.03,0.233,67.751
Kaleid - 2006 Remaster,3TliaLRGyaZzrw3ffYaNBl,257.225,31,7,1,4,0.0282,0.663,0.983,0.662,0.0645,-6.479,0.0363,0.752,110.187
Happiest Girl - Jack Mix; 2006 Remaster,1mouSqtUHU3FtBmEODBqAn,298.265,33,7,1,4,0.00282,0.76,0.699,0.0427,0.158,-4.767,0.0325,0.755,117.952
Sea of Sin - Tonal Mix; 2006 Remaster,4adskxvtdhBhsq3onGFWXQ,283.15,33,0,1,4,0.00154,0.636,0.822,0.238,0.0604,-5.36,0.0349,0.694,125.056
