Last Exit - Remastered,3g9QJOXLmC8lWnbvA0D0hl,175.386,41,0,1,5,0.0599,0.513,0.951,0.000221,0.0474,-6.838,0.047,0.672,139.153
Spin the Black Circle - Remastered,7Al0ADUt8SCPiQIBbTcNdR,167.613,49,2,0,4,0.00063,0.236,0.99,0.0586,0.407,-4.719,0.095,0.141,217.913
Not for You - Remastered,5gdmwS7vtRb8AGGRio84uX,352.586,52,9,1,4,0.0294,0.588,0.676,0.0235,0.0725,-6.553,0.0324,0.13,119.902
Tremor Christ - Remastered,0TQvjpyA3NfYLrwIhKxSON,250.6,41,1,1,4,0.0229,0.546,0.727,0.00616,0.102,-7.361,0.025,0.598,77.746
Nothingman - Remastered,74kd56Y1oNbQVEQnMdO9LH,274.44,57,5,1,4,0.499,0.274,0.387,0.000345,0.108,-10.206,0.0304,0.15,96.018
Whipping - Remastered,0zwjhaBWQEs7LUkuIZFRtl,154.04,39,7,1,4,0.00323,0.368,0.986,6.61e-06,0.0787,-5.016,0.0533,0.452,165.902
"Pry, To - Remastered",6Niltvp85DWb4qstAwW0NW,61.4,35,2,1,4,0.0435,0.35,0.439,7.81e-06,0.028,-15.798,0.0361,0.315,101.265
Corduroy - Remastered,5F6rwEF15hN1jnhNk2YQHn,277.586,56,0,1,4,0.00241,0.487,0.93,2.82e-05,0.0841,-7.3,0.0632,0.134,131.304
Bugs - Remastered,25YNWb6yFc2ATkZ7INpatB,164.986,35,10,1,4,0.737,0.709,0.357,2.75e-06,0.0745,-10.28,0.0322,0.644,65.062
Satan's Bed - Remastered,7Lcpuetp0oQtELVnd5Hw9s,204.88,37,11,0,5,0.00047,0.578,0.954,7.08e-05,0.329,-6.959,0.0755,0.661,139.598
Better Man,2B98ljvzqpCVgt5reTHq28,268.586,67,2,1,4,0.165,0.445,0.671,1.56e-05,0.0791,-7.937,0.0387,0.267,125.712
Aya Davanita - Remastered,1I0K800Ool9zOIxXhP31u2,174.653,36,11,0,4,0.166,0.646,0.774,0.732,0.0781,-10.709,0.035,0.284,130.609
Immortality - Remastered,5TxUedy2CM04QihDdOFnsk,318.066,57,2,1,4,0.0798,0.633,0.543,0.00671,0.0964,-9.142,0.0296,0.118,129.089
Stupidmop - Remastered,0hbds76eofToTXy335KQiR,443.8,33,4,0,4,0.187,0.341,0.794,0.00838,0.104,-12.882,0.0786,0.291,97.217
Better Man - Guitar / Organ Only,6tprZ8QNcbkSebyC9HDgRH,234.56,46,2,1,4,0.916,0.31,0.138,0.000288,0.0863,-13.108,0.0325,0.17,116.007
Corduroy - Alternate Take,4d776pexGoCw08uOrvusZz,283.413,36,0,1,4,0.0065,0.491,0.927,5.01e-05,0.0691,-6.64,0.0566,0.108,131.055
Nothingman - Demo,3WUtA4WlY15QJDT6FgTsHw,276.626,35,5,1,3,0.17,0.373,0.333,1.64e-05,0.122,-10.102,0.0298,0.122,144.451
