Envelheço na cidade,7acm5zxFByzgg2BKDMuG79,197.08,20,2,1,4,0.000501,0.61,0.802,6.29e-05,0.323,-6.334,0.028,0.645,117.184
Casa de papel,6GtRyaKdJ4bfMRjWSWqVBu,216.306,25,11,0,4,2.35e-05,0.484,0.872,7.4e-05,0.0853,-5.943,0.0483,0.894,168.653
Dias de luta,1BEtqBWPmUBI11HY54lZrj,268.24,21,9,0,4,0.000962,0.493,0.55,0.0448,0.371,-12.769,0.0348,0.625,119.889
Tanto quanto eu,4Bx5iLml1O74KG718CmEtt,168.933,14,2,1,4,0.000192,0.552,0.832,0.0444,0.179,-5.756,0.0291,0.961,125.076
Vitrine viva,1J6qwz2yJ87IzKTwBiX95G,137.0,14,9,0,4,0.000714,0.731,0.889,0.000405,0.045,-5.324,0.0668,0.674,124.003
Flores em você,3rWOar0nkkWhWbM9ijvsf8,115.8,19,0,1,4,0.816,0.606,0.278,0.0,0.182,-13.195,0.0409,0.763,155.888
Quinze anos,7z9Gnnhd6JMDfqfxRrXd4I,160.4,17,7,1,4,0.0028,0.605,0.773,0.169,0.311,-5.001,0.0263,0.611,116.283
Nas ruas,3RPuiPhdaGyX5xfecnO0vq,257.76,24,2,1,4,0.000263,0.274,0.935,0.000974,0.265,-4.384,0.054,0.455,171.912
Gritos na multidão,5R2OttYFB9u5sOLTp8pM0e,181.133,16,9,1,4,0.197,0.579,0.932,2.37e-06,0.0846,-4.483,0.0413,0.894,92.418
Pobre paulista,3f48db7fPYZCtAjjyG9ACh,290.893,17,11,0,4,3.61e-05,0.427,0.759,0.000102,0.414,-10.311,0.0316,0.595,93.018
Não pague pra ver - Demo Tape,2FoYTW2bAzFnGB3VURlAV6,170.36,11,7,1,4,0.0181,0.576,0.77,0.0302,0.0977,-8.287,0.0453,0.399,99.187
Flores em você - Demo Tape,1nJ7e4thdjl1NaEqVYVwNp,156.733,10,0,1,4,0.116,0.376,0.775,0.899,0.22,-7.788,0.033,0.535,93.402
Pobre paulista - Demo Tape,3EasfLmx3RQ1Xd7W6Y51aR,270.333,12,4,0,4,0.00567,0.487,0.845,0.00298,0.0983,-6.394,0.0427,0.485,99.108
Nasci em 62 - Demo Tape,0mVWgCkFJ8xtdi4dWpXeSn,125.066,9,2,1,4,0.0775,0.454,0.975,0.000409,0.133,-5.716,0.159,0.463,101.1
Tanto quanto eu - Demo Tape,0XUaVhO2TuHPlqpmx65gRt,167.133,9,2,1,4,0.00121,0.54,0.898,0.000137,0.195,-6.939,0.0342,0.919,123.36
