Playa Playa,6j0FBH06L1YlVkxBvE972P,426.76,44,1,1,4,0.454,0.52,0.468,0.0258,0.715,-8.58,0.392,0.439,81.548
Devil's Pie,5ILWEn8WXPezgpHkGHDk8s,321.642,49,10,0,4,0.00306,0.917,0.455,0.000742,0.713,-8.446,0.23,0.562,92.097
Left And Right,4EQ0dK6Sg7v685NGrQvuki,286.466,45,1,1,4,0.219,0.842,0.405,0.0,0.368,-9.504,0.628,0.824,91.972
The Line,3RE93xPC29qZqbubAUeXTt,316.306,43,2,1,4,0.145,0.843,0.376,0.00471,0.167,-9.653,0.382,0.558,80.098
Send It On,5LIwaG8Wl9LfExcmiRQm7J,356.493,52,5,1,3,0.168,0.789,0.258,0.00714,0.326,-11.759,0.104,0.335,127.491
Chicken Grease,42uCM9saw5B3bCjEFLROlE,278.573,44,11,0,4,0.108,0.897,0.498,0.0117,0.658,-10.093,0.312,0.685,91.088
One Mo'Gin,4KdHmcUVArJeN7XPjp6Czx,373.026,46,1,1,4,0.291,0.857,0.16,0.0555,0.118,-12.933,0.352,0.591,64.026
The Root,2Qmkg3JVW6e0w55HQudjSW,393.106,43,0,1,3,0.498,0.866,0.41,0.00019,0.0933,-7.348,0.457,0.704,80.194
Spanish Joint,4euxFlxLWVGmZZLyYARTyE,344.493,51,0,0,4,0.537,0.729,0.498,0.322,0.134,-8.906,0.0821,0.78,111.77
Feel Like Makin' Love,7hzgk557YLr0722EFkmp9Z,382.333,58,0,1,4,0.0979,0.913,0.201,0.487,0.0867,-9.511,0.15,0.519,87.359
Greatdayndamornin'/Booty,50k4cklYBbHthI5UDG24KU,455.066,41,1,0,4,0.13,0.813,0.446,0.0405,0.0865,-11.328,0.243,0.603,82.587
Untitled (How Does It Feel),4oPNN7syJYSjzDhRerF966,430.8,60,4,0,3,0.16,0.838,0.304,0.0257,0.0828,-9.975,0.0628,0.221,112.618
Africa,6FTBZdL2sXXUSBXMwrQTut,373.6,41,9,1,4,0.608,0.726,0.33,0.127,0.724,-9.935,0.211,0.378,94.755
