Criminal (feat. Rick Ross),18MC2XdOQYheFq5HAyK7rJ,274.68,47,7,0,4,0.0183,0.284,0.617,0.0,0.112,-6.865,0.0813,0.166,153.002
Pineapple Skies,19EnyPZhNPbRoCxAuv5pKD,281.36,62,10,1,4,0.026,0.654,0.587,0.0,0.589,-6.331,0.0439,0.288,100.014
Sky Walker (feat. Travis Scott),5WoaF1B5XIEnWfmb5NZikf,259.333,75,6,1,4,0.173,0.674,0.506,0.0,0.0866,-10.532,0.0434,0.183,145.965
Banana Clip,6xagjcywpcyNFghafZPQJv,201.626,64,1,0,4,0.0973,0.638,0.708,0.0,0.177,-5.342,0.0754,0.606,84.978
Wolf (feat. Quin),3SHJLQK4Nfgg7eYMvMElnF,209.093,45,10,0,3,0.136,0.413,0.588,0.00155,0.146,-7.009,0.0806,0.434,179.685
Harem,7JU0nyGvKLawxIQ1LYhJgy,193.493,46,2,0,4,0.465,0.598,0.583,1.35e-06,0.123,-8.549,0.054,0.126,119.99
Told You So,736XrOvsUtOpuyLmPdjuG3,190.106,51,1,1,4,0.124,0.781,0.654,0.0,0.0759,-4.514,0.0386,0.707,118.037
City of Angels,6Lnn71AwH0uzSocADOF8ei,258.173,47,0,1,4,0.245,0.694,0.628,0.000222,0.169,-8.159,0.201,0.243,150.836
Caramelo Duro (feat. Kali Uchis),3LcjZGk0GBlPRe5XhYVGgM,213.72,53,2,1,4,0.0298,0.624,0.726,0.0,0.301,-4.585,0.052,0.83,99.996
Come Through and Chill (feat. J. Cole & Salaam Remi),1m8WpLYXEiNVZchsWEcCSy,322.0,72,6,1,1,0.158,0.461,0.653,0.0,0.197,-8.617,0.327,0.588,81.628
Anointed,4hv7GT5g9qNnrxlocsOSYt,233.706,45,4,0,4,0.142,0.554,0.56,0.0,0.104,-4.824,0.0415,0.0786,131.206
Now,5XN9jwDlXAZ8j5nMcK7S1d,249.64,46,0,1,4,0.716,0.451,0.518,0.0,0.102,-9.149,0.116,0.411,111.827
