Are You Hung Up?,2hJRFLEbOtOTMiLkrgeioZ,85.306,18,9,1,4,0.518,0.516,0.417,0.00216,0.186,-17.412,0.88,0.233,82.55
Who Needs The Peace Corps?,3NP32S4CAu1hh6QQEAbmCL,154.133,22,4,0,4,0.804,0.487,0.516,0.0,0.56,-12.781,0.0397,0.625,109.296
Concentration Moon,49nu75qEFpgNk3bX72V0HC,142.2,20,10,1,3,0.603,0.563,0.267,1.62e-05,0.119,-16.538,0.0765,0.663,123.414
Mom & Dad,0MBIgggt5uxpC6f7xJ4avs,136.386,19,11,0,4,0.863,0.422,0.252,0.00131,0.241,-17.53,0.0585,0.374,200.656
Telephone Conversation,6S9HTE6qfanL1GfZ2RJ0G4,48.88,16,3,1,4,0.796,0.625,0.244,9.94e-05,0.124,-25.02,0.202,0.0541,123.49
Bow Tie Daddy,3Ehjo0dTiCzqi4kgy7KHZM,33.266,18,7,1,4,0.412,0.743,0.367,0.95,0.0427,-14.219,0.189,0.966,125.746
"Harry, You're A Beast",6TOXoQ89wHKyf17AJnc2Ti,81.24,18,11,0,4,0.842,0.582,0.345,9.86e-05,0.209,-14.922,0.0617,0.628,126.607
What's The Ugliest Part Of Your Body?,0rQ2KVaLpyhzj1envkGYGA,63.013,22,7,1,4,0.739,0.505,0.323,1.52e-05,0.287,-11.886,0.0474,0.61,135.9
Absolutely Free,0rFIfNcUifstvlcPl4eHIY,204.493,19,0,1,4,0.739,0.491,0.385,5.41e-06,0.253,-11.504,0.0764,0.307,84.19
Flower Punk,7h8oWxaOoTeVdkAVEQkooa,183.52,18,9,0,3,0.0577,0.491,0.691,0.0,0.637,-11.035,0.224,0.328,115.887
Hot Poop,5Bc9JQeKdxMWRCLZhxB3Ro,26.946,0,0,1,4,0.748,0.52,0.675,2.7e-05,0.163,-18.833,0.525,0.0612,126.779
Nasal Retentive Calliope Music,6bDKcfWj4bUDSOVN5IBJH7,122.76,15,1,1,4,0.527,0.47,0.906,0.149,0.367,-13.777,0.5,0.0321,132.987
Let's Make The Water Turn Black,68kQ2EeyEBErwcrqUpeTCc,121.333,19,9,0,4,0.819,0.701,0.479,0.0,0.66,-14.421,0.0496,0.964,136.723
The Idiot Bastard Son,5FGns8mr0PjV2hBI9TqV42,198.826,16,9,1,3,0.341,0.487,0.349,0.0,0.531,-17.054,0.247,0.604,121.667
Lonely Little Girl,395nYO9cxtDIzRq1o4lp3q,69.826,16,8,1,4,0.557,0.417,0.499,0.00201,0.578,-12.19,0.0336,0.822,109.588
Take Your Clothes Off When You Dance,7ggLyENiWBewvpjUOfZbwp,92.786,19,11,0,4,0.788,0.84,0.571,0.0,0.162,-10.421,0.0514,0.961,120.68
What's The Ugliest Part Of Your Body? - Reprise,6PVM2MYoFPvHDwpy0zCg8e,58.04,16,7,1,4,0.839,0.389,0.318,0.578,0.549,-12.134,0.0308,0.503,87.802
Mother People,7wNukYz63HwXgnfYrEZY0Y,152.293,16,2,0,3,0.733,0.492,0.301,1.51e-06,0.383,-14.266,0.113,0.479,70.9
The Chrome Plated Megaphone Of Destiny,3L7hJPqQgWxV5cKwBWOCHM,384.786,14,4,1,4,0.431,0.328,0.73,0.164,0.11,-17.553,0.596,0.139,71.625
