My Name Is Jonas,4nzyOwogJuWn1s6QuGFZ6w,204.293,61,11,1,3,0.00021,0.295,0.94,0.00106,0.276,-5.247,0.0449,0.58,186.186
No One Else,2w12ff20EDDeXpsx08CgG5,184.506,51,4,1,4,0.000248,0.461,0.882,0.00049,0.121,-5.409,0.0343,0.688,138.303
The World Has Turned And Left Me Here,06isZAG9Bgm4jhPj7V0Rhx,259.466,52,6,1,4,0.000399,0.455,0.918,0.0134,0.323,-5.724,0.0352,0.56,99.078
Buddy Holly,3mwvKOyMmG77zZRunnxp9E,159.226,72,8,1,4,0.00271,0.556,0.92,0.00021,0.117,-4.606,0.0367,0.771,121.138
Undone - The Sweater Song,5WhtlIoxoZrMmuaWWEQhwV,305.533,64,6,1,4,0.00114,0.457,0.618,0.00257,0.0679,-6.682,0.0296,0.579,80.184
Surf Wax America,1w8gsT5RBrFfTrLYhDRJIk,186.44,51,6,1,4,0.000345,0.405,0.916,0.172,0.274,-7.557,0.0953,0.332,164.961
Say It Ain't So,6VoIBz0VhCyz7OdEoRYDiA,258.826,74,3,1,4,0.00737,0.634,0.551,1.82e-05,0.07,-7.136,0.0352,0.453,151.779
In The Garage,3If9Idk1rglOqubIsJcpmv,235.706,52,6,1,4,0.000119,0.531,0.729,0.00013,0.107,-6.994,0.0283,0.362,97.47
Holiday,5vkkhwtKWnGkFu3tagE71D,204.933,51,8,1,3,0.000408,0.487,0.811,3.83e-05,0.146,-7.223,0.0432,0.382,120.124
Only In Dreams,3DkHNCA4QRBQgTzF2T18hm,479.066,53,1,1,4,0.00215,0.507,0.535,0.495,0.111,-9.051,0.0261,0.403,78.049
