Dear Lover,7ueNGMnYBXIuuglH1A1wND,283.333,41,8,1,4,1.08e-05,0.482,0.942,0.00171,0.591,-4.545,0.0379,0.274,123.898
Don't Drag Me Down,7tZ1sF5HLhqtRO0bITs4lV,230.066,51,8,1,4,4.7e-06,0.328,0.957,0.437,0.0551,-2.568,0.0787,0.515,181.957
Untitled,1OrGbwskgHvNCEbWCVd8cn,284.626,35,10,0,4,4.52e-06,0.436,0.909,0.104,0.105,-4.563,0.0349,0.578,126.034
I Was Wrong,1Lpmme6uCsPJIdcbR5aePx,237.573,53,3,1,4,0.000434,0.413,0.984,0.0155,0.0939,-3.404,0.0472,0.405,122.024
Through These Eyes,1wDTIaOD00oYLgQn37E1SC,194.093,36,0,0,4,5.58e-05,0.424,0.923,0.176,0.0546,-3.242,0.0373,0.742,94.977
Down On The World Again,2LdwaoRz0S45QgBRRQO93f,200.666,32,0,1,4,5.64e-06,0.372,0.984,0.176,0.131,-3.507,0.0535,0.455,92.043
When The Angels Sing,2sWRDJ86VSkjZteoeYzEET,254.106,39,5,1,4,2.42e-05,0.46,0.924,0.00161,0.233,-3.569,0.0383,0.449,122.936
Gotta Know The Rules,1ggbVUszPZn9wFoqnQwU5M,207.373,31,10,1,4,4.46e-06,0.41,0.98,0.124,0.216,-5.717,0.0802,0.463,93.995
Crown Of Thorns,4FtjGrMnziY0yfPn4tGvd2,255.093,32,8,1,4,1.3e-05,0.488,0.954,0.155,0.168,-4.247,0.0449,0.589,128.012
Pleasure Seeker,5Si1giWlFFDWbvb6YkA5wF,211.8,29,10,0,4,4.87e-06,0.292,0.976,0.0843,0.106,-2.985,0.101,0.434,173.976
Down Here (w/ The Rest Of Us),4OoFcnxrVYSPF2KeiY7CfM,258.64,30,8,1,4,2.01e-05,0.366,0.919,0.00187,0.091,-3.167,0.04,0.419,176.02
Under My Thumb,6RBLcDQvA3VgQ8vHoXoo0v,169.56,36,1,1,4,2.45e-06,0.108,0.953,0.327,0.0271,-3.517,0.0707,0.449,182.119
