You Give Good Love,0t6DdFmFQhQYWhmfa5FJer,277.24,52,5,1,4,0.686,0.559,0.365,0.0,0.0771,-13.654,0.0332,0.534,74.802
Thinking About You,1ZEsUSRSOuessvFDC1Kpk1,324.36,36,11,0,4,0.257,0.856,0.343,0.0,0.0584,-16.479,0.0617,0.744,119.94
Someone For Me,57gkU8WvqF62FTRDIIHqjH,298.8,34,2,1,4,0.0757,0.858,0.543,0.00953,0.255,-15.417,0.0424,0.927,124.12
Saving All My Love for You,1lx8ddGT5wCD6W2xmLeRKG,238.466,66,6,0,3,0.593,0.636,0.264,4.22e-05,0.275,-14.567,0.0263,0.264,99.304
Nobody Loves Me Like You Do (with Jermaine Jackson),72NcOvvGdarZaOyKMNHZ1m,228.093,40,7,1,4,0.683,0.388,0.177,8.97e-06,0.261,-17.819,0.0325,0.106,124.444
How Will I Know,5tdKaKLnC4SgtDZ6RlWeal,275.533,72,6,1,4,0.201,0.832,0.544,0.000139,0.632,-12.697,0.0442,0.928,119.49
All at Once,0g8Q1Pmem92k7PzI3VLWKz,268.6,56,0,0,4,0.539,0.58,0.325,0.0,0.135,-16.16,0.0294,0.342,132.548
Take Good Care of My Heart (with Jermaine Jackson),2rzea165xVSd8sIgBvKN8j,255.8,37,11,0,4,0.212,0.71,0.591,2.05e-06,0.181,-14.566,0.04,0.841,112.078
Greatest Love of All,6yJxCltgtmGxIgKOS6ndnu,291.4,68,9,1,4,0.484,0.502,0.305,3.55e-06,0.117,-16.011,0.0339,0.248,131.242
Hold Me (with Teddy Pendergrass),00W1p1EeD140DHSrVjhhlR,360.733,45,2,1,4,0.379,0.537,0.263,2.83e-06,0.162,-17.92,0.0291,0.21,116.097
