Baba O'Riley,3qiyyUfYe7CRYLucrPmulD,300.4,77,5,1,4,0.313,0.489,0.724,0.185,0.287,-8.367,0.0352,0.15,117.292
Bargain,4Vtl42qX97JBj68TKifBHR,333.586,48,3,1,4,0.0169,0.452,0.888,0.00341,0.17,-7.994,0.054,0.336,133.883
Love Ain't For Keeping,1zdmeAd3wE2VlrrxpAAEgr,130.72,42,2,1,4,0.0779,0.554,0.818,0.0106,0.341,-6.864,0.0362,0.512,142.339
My Wife,04jUWHa4mIZKn7duaD2gXW,213.68,40,11,1,4,0.318,0.581,0.935,0.359,0.213,-6.779,0.0439,0.583,122.014
The Song Is Over,1F10hpkS0xntdnTZ4bIjTp,376.613,41,5,1,4,0.47,0.36,0.652,0.00118,0.101,-7.552,0.0443,0.265,106.46
Getting In Tune,0M7tdKXvtrEk26j8nXFtvC,288.453,41,0,1,4,0.124,0.369,0.759,0.0143,0.108,-8.304,0.0602,0.555,139.65
Going Mobile,236pPQUEDapfH7Jn6rbhBa,222.066,41,9,1,4,0.266,0.526,0.843,0.00671,0.139,-7.512,0.0343,0.608,136.262
Behind Blue Eyes,0cKk8BKEi7zXbdrYdyqBP5,221.426,70,4,0,4,0.213,0.394,0.622,4.45e-05,0.0892,-8.258,0.0336,0.342,126.844
Won't Get Fooled Again - Original Album Version,0cJPLFrlV7TTCyPLupHzcH,511.4,64,2,1,4,0.301,0.686,0.92,0.27,0.0807,-6.231,0.0566,0.225,135.027
Baby Don't You Do It - New York Record Plant Session Full Version,0Es9AG7uyEtCG4Y8KQSbsx,500.44,34,0,1,4,0.00377,0.311,0.949,0.00525,0.362,-5.952,0.119,0.665,178.816
Getting In Tune - New York Record Plant Session 2003 Remix,2gRLTKBMWx4i77eSnQvI1i,393.96,31,0,1,4,0.00677,0.388,0.889,0.000233,0.0904,-5.686,0.0814,0.592,160.719
Pure And Easy - New York Record Plant Session 2003 Remix,3hssglbcgIaPAZA2NLK6aC,271.52,31,9,0,4,0.0258,0.457,0.876,0.0,0.15,-4.235,0.0569,0.543,129.268
Love Ain't For Keeping - New York Record Plant Session 2003 Remix,6pNw0KxEeAZazywH7zRfSu,243.533,30,2,1,4,0.00209,0.25,0.879,0.0024,0.276,-5.621,0.0544,0.704,166.736
Behind Blue Eyes - New York Record Plant Session 2003 Remix,7FmUcSgHCZHYCRmmOvnVMe,208.013,31,2,1,4,0.0448,0.39,0.64,0.0,0.145,-6.276,0.037,0.573,136.277
Won't Get Fooled Again - New York Record Plant Session 2003 Remix,5NwNaEjmxnfemHLrcvXUcx,528.586,31,2,1,4,0.0541,0.62,0.951,0.0187,0.107,-6.103,0.046,0.637,136.518
Love Ain't For Keeping - Live,2u7Do6hFnQ2omiek0effYE,177.64,27,2,1,3,0.00819,0.253,0.967,1.6e-05,0.651,-5.509,0.176,0.342,166.729
Pure And Easy - Live,2rA4NMEGh43nu8PgrWlN0t,360.666,28,0,1,4,0.015,0.364,0.978,5.8e-05,0.612,-6.003,0.151,0.329,129.773
Young Man Blues - Live,1bTM0cvWbGyFu8GgJxSMRo,287.92,34,9,1,4,0.0122,0.231,0.932,0.014,0.495,-7.801,0.124,0.47,186.426
Time Is Passing - Live,6vkADLJB2kDjiB1nyZy6wh,239.12,27,9,1,4,0.213,0.502,0.907,7.43e-06,0.512,-7.099,0.0963,0.54,91.69
Behind Blue Eyes - Live,6FLE64mYNqmKEnr2lLOUGc,289.426,28,7,1,4,0.446,0.398,0.625,0.0,0.57,-10.433,0.237,0.178,136.858
I Don't Even Know Myself - Live,48qS2iZ7DsLqR26RddDxUe,342.533,28,5,1,4,0.329,0.42,0.912,1.7e-06,0.816,-7.131,0.319,0.353,131.426
Too Much Of Anything - Live,353DDwCr6bJ7ATI9zbvKOp,260.88,26,9,1,4,0.165,0.376,0.874,2.81e-06,0.278,-7.62,0.109,0.287,142.399
Getting In Tune - Live,5YuWqO9TBO1c2SVqeMxO4w,402.106,26,0,1,4,0.0451,0.274,0.896,0.000218,0.45,-8.626,0.123,0.571,166.051
Bargain - Live,0JUYnzcWnQxt9nWIfokaLo,346.32,26,6,0,4,0.0731,0.357,0.951,0.00685,0.713,-7.965,0.123,0.27,142.24
Water - Live,0G40R1RtAbgAUI8SslMsTB,499.946,27,10,1,4,0.0911,0.252,0.918,0.00343,0.763,-8.478,0.181,0.572,182.476
My Generation - Live,3Xw3JVBLVjNTngFiVaIPKM,178.28,27,9,1,4,0.102,0.202,0.944,0.00192,0.355,-6.798,0.165,0.641,196.771
(I'm A) Road Runner - Live,5IO4w8NjPM5IHzAYtvX3T9,194.306,26,9,1,4,0.055,0.426,0.975,0.225,0.893,-8.002,0.0784,0.395,122.26
Naked Eye - Live,3U2R2rbJ3VdUy4cnW3gmRb,381.826,27,0,1,4,0.169,0.274,0.871,0.0194,0.437,-9.166,0.129,0.303,165.921
Won't Get Fooled Again - Young Vic Live Mix,2NfNAfHQLUQpxjZiyc1CRy,530.626,28,2,1,4,0.501,0.6,0.961,0.0033,0.0486,-6.949,0.0698,0.255,134.0
