The Once over Twice,6RTXSRakdyMcAdqHp3UCMZ,150.866,23,4,0,4,0.104,0.587,0.744,0.00473,0.175,-6.471,0.0268,0.727,96.765
We're Desperate,0mElETJ4SJtLQNNp4ja6yv,120.4,21,2,1,4,0.0145,0.642,0.774,3.88e-05,0.117,-6.62,0.0764,0.655,132.935
Adult Books,32BCLFJeTxQPd9S0HdSaGT,199.373,22,7,1,4,0.231,0.632,0.54,0.0,0.182,-7.766,0.0424,0.797,133.25
Universal Corner,2EX6jMfB0rJh0OMVH0BHNn,273.2,17,9,1,4,0.00295,0.527,0.601,1.83e-05,0.131,-6.569,0.0257,0.585,138.151
I'm Coming Over,1GKZGPgflEBExdu8Echi3e,74.893,17,4,1,4,0.00445,0.522,0.878,0.0,0.279,-6.401,0.0383,0.836,118.772
It's Who You Know,59IHu6pTuvgRG30DH1ceig,137.106,15,2,1,4,0.00315,0.503,0.751,4.32e-06,0.26,-5.875,0.0411,0.628,103.478
In This House That I Call Home,2wOXQqnvrwwd8N5JSEsK2d,214.56,20,2,1,4,0.00604,0.576,0.818,7.63e-06,0.256,-7.0,0.0277,0.88,100.571
Some Other Time,7gRWQDHfmUE0L92spB6V41,137.4,16,4,1,4,0.513,0.552,0.574,0.0448,0.142,-6.955,0.0385,0.782,178.088
White Girl,0TmZXYaeEptuqhznOcDI6H,207.333,26,0,1,4,0.0017,0.349,0.639,0.000694,0.329,-6.702,0.0269,0.648,136.426
Beyond and Back,7kRyNOf2j5ztkkMfnFtnOd,169.106,20,4,1,4,0.00551,0.534,0.824,0.164,0.276,-5.354,0.0258,0.566,101.076
Back 2 the Base,0spTMmQmZMhnJJKURh3Wn3,93.026,13,0,1,4,0.0483,0.781,0.883,0.00865,0.204,-4.967,0.0291,0.965,112.96
When Our Love Passed out on the Couch,40bsBbBTukcC2qf6QK1MJy,117.333,15,9,1,4,0.00438,0.335,0.806,0.0,0.135,-6.509,0.0664,0.69,196.027
Year 1,38uT6UkMxkdIoM3MEAeKDR,78.4,15,7,1,4,0.133,0.598,0.805,0.00271,0.568,-4.352,0.0343,0.871,96.834
