Down On The Corner,2gE95JskwQ1pCACTpGe1Db,166.28,73,0,1,4,0.583,0.858,0.544,0.00109,0.0707,-9.289,0.0751,0.874,108.217
It Came Out Of The Sky,3bgTFCt5CTfasvpigHAdL0,175.666,56,2,1,4,0.225,0.621,0.89,0.000582,0.174,-7.605,0.0328,0.965,148.417
Cotton Fields,3vO2BbrhKNV2PDl276BUIZ,177.266,65,9,1,4,0.237,0.582,0.641,0.0,0.132,-7.621,0.0297,0.86,148.634
Poorboy Shuffle,3uUT6HFCrDnWJ0uJ6HqHRN,144.826,40,0,1,4,0.221,0.714,0.457,0.942,0.28,-13.497,0.108,0.927,132.68
Feelin' Blue,4YDIm7KU50tf4lXVC4EBzc,306.8,45,7,1,4,0.435,0.781,0.489,0.0131,0.21,-9.196,0.0337,0.864,101.957
Fortunate Son,4BP3uh0hFLFRb5cjsgLqDh,140.773,81,0,1,4,0.201,0.64,0.663,0.00806,0.152,-7.516,0.0374,0.663,132.77
Don't Look Now,0AZGdAnzRwywzKKZ4HfLFW,131.053,43,4,1,4,0.197,0.833,0.608,0.0102,0.117,-10.462,0.0297,0.947,99.711
Midnight Special,5jRQvcl66ovRTjUwzXziZA,253.866,63,2,1,4,0.661,0.763,0.462,0.0,0.112,-9.432,0.105,0.672,124.491
Side O' The Road,3EwDRtUKlGi4B6OBnyVA6Q,204.413,42,4,1,4,0.296,0.884,0.305,0.893,0.101,-8.392,0.0516,0.542,116.544
Effigy,5tExbDqNGYDcLCYBFIdcN1,387.44,52,7,1,4,0.0583,0.35,0.545,0.117,0.128,-8.459,0.0261,0.383,77.08
Fortunate Son - Live,1iMbUwjF8CykDzRLHGKYgd,135.253,37,7,1,4,0.00377,0.346,0.87,1.87e-05,0.0708,-7.28,0.0443,0.527,153.185
It Came Out Of The Sky - Live,3mZwLhfeK9NEyQ85LaNanS,207.72,35,2,1,4,0.00149,0.458,0.876,5.11e-05,0.0878,-8.238,0.052,0.777,156.383
Down On The Corner - Jam With Booker T.,1G94iOtvExyCWSYja7PQeF,168.053,36,0,1,4,0.529,0.804,0.595,0.785,0.0649,-6.799,0.0937,0.741,107.086
