So You Want to Be a Rock 'N' Roll Star,3PFOfOdzObTrsIA7pTkJWN,126.16,35,2,1,4,0.0036,0.37,0.683,6.32e-06,0.451,-8.163,0.0387,0.728,154.044
Have You Seen Her Face,6oRNqIZzxNdpYlappmxrGR,159.973,34,11,0,4,0.43,0.525,0.637,3.02e-06,0.317,-8.409,0.0285,0.793,130.832
C.T.A. - 102,61keIoR8okfpXDLd48gahU,148.226,21,0,1,4,0.0474,0.327,0.599,0.00405,0.104,-11.608,0.0395,0.743,91.246
Renaissance Fair - Single Version,2tT7izwilr1NUIEcC3FTbr,111.666,28,1,0,4,0.761,0.563,0.454,0.0,0.151,-9.125,0.0327,0.658,124.521
Time Between,244Sqt9PC1Ya3W1UySztI3,113.2,25,4,1,4,0.76,0.593,0.517,0.0,0.291,-10.165,0.0281,0.786,105.454
Everybody's Been Burned - Single Version,2sKXj3gEdILnKDMV3D0htZ,185.226,37,4,0,4,0.671,0.531,0.343,1.72e-06,0.158,-15.074,0.0295,0.498,104.037
Thoughts and Words,06nFvZ2VpIAemq2iXmbtLe,176.466,23,6,0,4,0.814,0.533,0.483,0.0271,0.253,-10.902,0.0333,0.813,124.116
Mind Gardens,3wHirUEHpsV37oAUADsj5f,225.8,23,2,1,3,0.887,0.184,0.417,4.76e-05,0.12,-7.864,0.0305,0.223,96.385
My Back Pages,1yexhSDARSLVvRCBU3wDAm,188.24,48,4,1,4,0.109,0.558,0.524,0.0,0.17,-10.528,0.0339,0.727,123.243
The Girl With No Name,4kOeaGdcRngJ7GBvNTrdm9,110.333,22,9,1,4,0.624,0.593,0.601,0.0,0.243,-11.463,0.0291,0.711,101.439
Why,2vqqh6kgBdHKXMhroojT0k,165.706,22,4,1,4,0.0776,0.325,0.522,0.00114,0.179,-12.327,0.0349,0.778,169.837
It Happens Each Day,2YoR6ZqQqgfldOMz2WP266,164.706,19,2,1,4,0.586,0.591,0.385,0.0012,0.0989,-13.926,0.0254,0.391,105.69
Don't Make Waves - Single Version,0zMqTBqZ4FF6XKDqWOQ6ZJ,96.773,19,2,1,4,0.517,0.546,0.799,0.0,0.239,-10.052,0.0705,0.767,79.994
My Back Pages,6VCEXvBYSSdPDuIX64mUaT,162.706,19,4,1,4,0.0946,0.568,0.618,0.0,0.602,-9.209,0.0375,0.871,122.583
Mind Gardens,5qdPoCOZDMYSN8NtpjaIcg,197.76,15,2,1,1,0.71,0.184,0.317,0.000184,0.0889,-11.881,0.0328,0.214,91.353
Lady Friend - Single Version,1qbQ6f75f5GWlhaWESDXkV,150.733,21,4,1,4,0.301,0.31,0.617,0.00468,0.263,-9.067,0.0296,0.899,132.678
Old John Robertson - Single Version,3n3sX5afRwdEwGdwYhMRlM,305.266,15,9,1,4,0.77,0.311,0.434,0.00176,0.32,-13.594,0.0368,0.103,97.179
