The Flute Song,6pGuOWYOFDcSgmVvFWRWSv,147.6,62,1,0,4,0.212,0.789,0.524,0.0,0.221,-7.942,0.273,0.343,138.064
Outlaw,4dLLeoa1HtrK6BqBVzEdqH,222.413,48,1,1,4,0.157,0.621,0.854,0.0,0.0458,-3.697,0.32,0.591,81.986
Kill Them All,1Y1UKiNNqMpSc1HojIjJvB,267.133,47,6,0,4,0.0716,0.802,0.791,8.08e-06,0.0651,-4.037,0.239,0.772,168.059
Missin You Crazy,4ve2uzqdwnHr20G5YgMMqr,226.693,74,5,1,4,0.0991,0.716,0.729,0.0,0.0842,-6.313,0.117,0.276,131.975
Voicemail,4Oi9e9Ajh72JUhQqI87kGc,189.133,57,10,0,4,0.0198,0.801,0.705,0.0,0.2,-1.756,0.206,0.358,86.984
Parkstone Drive,3hWScIEUaZGBKTnVYdNwrW,205.72,54,8,0,4,0.0348,0.857,0.616,4.37e-06,0.0709,-3.287,0.206,0.152,94.032
Begging You,6EgWb0x0RkCcSpgud1FuQV,252.266,58,10,1,4,0.282,0.847,0.55,0.000266,0.113,-9.285,0.3,0.529,88.017
Serious,6hp5Ytt1DmRaviuXkSTO7L,188.946,54,1,1,4,0.132,0.69,0.635,0.0,0.362,-7.624,0.34,0.569,144.065
Keep My Wits,0XVEnrHgsQSOtCY8s0QRql,238.226,42,8,1,4,0.000174,0.723,0.822,0.0,0.135,-6.88,0.234,0.456,180.013
Our Time,0zycJ5wiUlx2aP3MySQv0S,170.293,55,7,0,4,0.0746,0.758,0.675,1.32e-06,0.167,-6.49,0.0845,0.491,148.093
From a Distance,3rDuYJzkBZw9jbbrRatwWu,175.32,53,3,1,4,0.766,0.733,0.233,3.17e-05,0.11,-8.733,0.0482,0.441,94.023
Last Forever (feat. Rick Ross & Snoop Dogg),5U1OcBfP61WcT2yTpXKx72,235.853,48,8,1,4,0.0875,0.581,0.895,0.0,0.111,-4.129,0.362,0.513,173.89
Keep It Pushin (feat. Mahalia),2jPQGsL5ZuIp9NTlvZ4TKD,300.28,50,1,0,4,0.475,0.641,0.231,1.38e-06,0.113,-14.617,0.35,0.488,102.853
Fuck That,1EVRS5M4KwxbcyI69Es5N7,244.733,46,6,0,4,0.0107,0.693,0.649,1.88e-05,0.15,-5.158,0.387,0.325,183.917
