I Threw the Rest Away,3ZGB7nic1vrbGjX6h7PjeO,208.333,28,5,1,4,0.0416,0.734,0.645,0.000426,0.0816,-10.736,0.0261,0.677,122.145
Can't Break It to My Heart,5eSPQr9YN3vxkpuOM30wks,173.666,34,5,1,4,0.0355,0.606,0.618,0.0,0.269,-13.761,0.0262,0.743,136.451
We Don't Love Here Anymore,3J0hLVaJmYWNqBtlrAuZLr,187.4,25,0,1,4,0.323,0.561,0.281,0.0,0.14,-14.8,0.0237,0.329,80.07
Crying Ain't Dying,4DcWOklVvYSBfhYaBpvLKU,192.373,25,5,1,4,0.0916,0.689,0.651,4.96e-06,0.251,-11.022,0.0266,0.711,118.808
Alibis,1Mew3ipJFmRpSj83LRyxod,182.96,55,4,1,3,0.437,0.61,0.31,0.0,0.22,-14.391,0.0262,0.381,107.525
My Second Home,1jdVSvhvwqiplmbbINNpOU,164.706,21,4,1,4,0.197,0.728,0.593,0.0,0.0911,-12.033,0.0354,0.844,131.157
Don't Talk to Me That Way,5gTAwujyfELbQ9gyjwahYz,228.133,26,7,1,4,0.275,0.537,0.359,0.0,0.0868,-12.666,0.0249,0.299,81.645
It Only Takes One Bar (To Make a Prison),6ek3u5zaXFKX8gckFCoi3N,211.373,16,10,1,4,0.173,0.407,0.472,0.0,0.118,-12.21,0.0298,0.269,188.363
Back to Back,2earp3Ku5nfZkfny5c4DCI,193.093,17,4,1,4,0.118,0.721,0.43,3.18e-06,0.239,-13.708,0.0248,0.536,105.733
If the Good Die Young,3MTkOwBjNhY88ZDoYCA9hE,146.666,31,4,1,4,0.0476,0.566,0.716,0.0,0.2,-13.293,0.0396,0.937,156.122
