Introdução por Mauro e Quitéria,0ueMrEh4UCFXaqFKjXiZe0,42.266,17,4,1,3,0.863,0.718,0.0657,0.0,0.523,-27.053,0.122,0.894,80.178
Miséria,5NGSZadaS8XA1hKl1Ah9P9,268.44,26,11,0,4,0.00569,0.645,0.858,0.00246,0.319,-10.305,0.0308,0.96,101.086
Racio símio,56hQBqLZ8ajwhMn1l6TcgZ,199.826,17,7,1,4,0.00836,0.732,0.781,0.000572,0.0668,-10.802,0.0296,0.883,133.304
O camelo e o dromedário,2KJfKbkObdnSwgHBeCk4rN,322.266,18,7,1,4,0.0237,0.881,0.386,0.000293,0.256,-13.447,0.137,0.756,129.255
Palavras,4yjrTt3iBeZVbhhlU3J1lD,154.666,17,7,0,4,0.0023,0.727,0.74,2.65e-06,0.0455,-10.713,0.0333,0.848,123.635
Medo,1LO1K3N8KW77u39ewlK0L7,125.773,18,0,1,4,0.00197,0.339,0.857,0.0,0.318,-8.622,0.0632,0.775,153.062
Natureza morta,4JUK38BUK7QZIHP3PI4LXa,18.066,0,7,1,4,0.115,0.73,0.989,0.114,0.0509,-9.227,0.0527,0.838,99.904
Flores,2oAkehvjylOAggGLPeVXYa,207.6,39,9,1,4,0.000903,0.501,0.691,2.23e-05,0.101,-11.807,0.0319,0.942,144.417
O pulso,59IO6bLQIcRlgcSNgKHxDV,164.8,30,9,1,4,0.0284,0.784,0.305,6.27e-05,0.103,-13.244,0.0687,0.777,125.276
32 dentes,7o76HQ135Q4IyCdo6E0uql,148.266,20,9,0,4,0.00404,0.628,0.865,0.115,0.153,-12.527,0.051,0.699,110.996
Faculdade,2w1DfrE1wuFxzLhPry1iyZ,193.826,15,7,1,4,0.0833,0.875,0.606,0.0212,0.0945,-10.415,0.0694,0.864,102.095
Deus e o diabo,1pnGzzT0UgndGn3Xxb8fH2,208.306,16,4,0,4,0.00261,0.595,0.948,0.0453,0.0763,-9.022,0.149,0.82,203.996
Vinheta final por Mauro e Quitéria,5iwdMIEbPEA97RtPFklx4O,34.613,13,3,0,4,0.873,0.904,0.533,0.0,0.776,-17.578,0.658,0.697,106.542
